score,at,content
5,2025 09 13 18 10 06,fitur cod knpa tdak aktif sih pdahal sya tiap co barang sesui bayar terus tlong min di perbaiki buat user yg amanah
5,2025 09 13 16 05 49,klo bisa semua pembayaran bisa cod saja
5,2025 09 13 14 35 34,sungguh sangat bagus belanja shopee ini walaupun susah gampang pesan cod
5,2025 09 13 14 03 16,semoga sistem cod tidak di hapus
5,2025 09 13 12 14 54,pastinya semua tidak ada yg sempurna ya kan tapi saran dari saya untuk kesempurnaan kedepannya kalo pesanan di batalkan dikarenakan barangnya habis kata penjual mohon jangan di matikan fitur cod nya ini saja lah yg lain ku rasa cukup baik
1,2025 09 13 11 20 40,antara cod dan transfer bank yaitu lebih cepat pengiriman cod dari pada transfer bank padahal yang cod belum tentu di bayar kok barangnya cepet si
1,2025 09 13 09 41 04,makin sepi ini shopee nanti untuk wilayah madura udah gak bisa cod lagi udah mulai pindah ke toktok
5,2025 09 13 09 40 20,oke tapi tidak boleh di cod napa ya
1,2025 09 13 08 37 38,knapa shopee ga bisa cod lagi
5,2025 09 13 07 47 23,kok sekarang gada metode cod nya tolong terbit kn lagi cod nya
4,2025 09 13 00 01 34,kenapa sekarang tidak bisa cod di shopee beri jawaban trima kasih
4,2025 09 12 19 13 59,di antara yg lain memang cuma shopee yg paling recomen hanya banyak barang macam speaker bluetooth tidak bisa cod dan ini lumayan merepotkan pembelian
1,2025 09 12 19 10 26,mau relog di hp baru koq disuru scan barcode di hp lama kan hp lama sudah dijual jadi g bisa masuk ke akun yg lama shi
5,2025 09 12 18 53 43,sedikit saran klw boleh tokonya semua harus sedia cod
1,2025 09 12 18 18 29,ini salah siapa shopee metode pembayaran cod saya diblokir oleh shopee karena saya membeli sebuah produk dari toko dan penjual dari toko tersebut menginformasikan bahwa produk yg saya pesan sedang kosong karna dari itu saya membatalkan pesanan
5,2025 09 12 16 52 15,lancar saya sll cod meski ada yg tdk sesuai deskripsi
5,2025 09 12 15 52 47,ya walaupun masih banyak penipu tapi soal sistem return barang ok banget walaupun metode cod tapi dana masih bisa di kembalikan
1,2025 09 12 12 51 45,shooope bisa apa si buat belanja aja org di suruh ngutang trs pakai cod ga bisa trs tolong perbaiki jgn org suruh ngutang kecewa deh
2,2025 09 12 12 32 35,lebih bagus ada uang cod baru berani mesan dari jauh karena kl datang bagus susah hati g jadi beli padahal bagus
1,2025 09 12 12 16 00,semakin jelek shopee padahal baru kemarin bisa cod sekarang malah ga bisa padahal kita bayar ga ngutang tolong di perbaiki lagi seperti semula
5,2025 09 12 07 13 48,paling suka belanja di shopee karena ada fitur cod cek dulu aman pastinya nggak khawatir kalau barang tidak sesuai
5,2025 09 12 00 53 05,alhmdlh adanya aplikasi shopee sy ga prlu lg blnja kluar tinggl psen cod brg dtg krmh alhmdlh adanya shope sgl kbutuhan sll tratasi smg kdpnya shopee akan lbh baik lagi
4,2025 09 11 22 11 14,gabisa cod
5,2025 09 11 21 20 50,aplikasi yang sangat menarik dan banyak promo dan pembelian bisa cod dan gratis ongkir pula good joob
5,2025 09 11 19 40 57,shopee good sayang ngasih kredit pay leternya nanggung jadi harus double dengan cod
3,2025 09 11 19 26 24,ngak bisa cod dan ngak datang sampai tujuan
5,2025 09 11 18 32 54,aplikasi bagus cmn cod nya di batasi
5,2025 09 11 18 21 37,sangat membantu dalam hal berbelanja sedikit pertanyaan apakah layanan cod ke ntt bermasalah
1,2025 09 11 18 02 44,aplikasi ini bagus dan saya terus chekout barang disini semenjak akhir ini metode cod nya gabisa nyala di bagian papua padahal gapernah retur barang satu pun semua di hp teman keluarga saya gabisa metode cod di setiap toko atau seler yg beda metode cod nya ga aktif tolong di aktifkan mind
3,2025 09 11 17 37 21,kenapa cod cek dulu di non aktifkan dari fitur shoope saya bisakah fitur shoope saya diaktifkan sistem cod cek dulu
3,2025 09 11 17 06 31,kak saya mau tanya saya pakai qris shoppe pay later untuk berhutang namun ko kode barcode qris gopay ga bisa untuk bayar ya dan juga pembayaran milik toko qris shoppe
1,2025 09 11 15 19 14,pesanan saya di persulit untuk pengiriman nya mungkin barang mahal kali giliran yang cod kemarin gercep parah untuk nomor kurir nya di adakan kak susah buat ngehubungin kurir
5,2025 09 11 12 39 17,shoope adalah shopping online blnja online yg bisa mngatasi belanja dalam keramaian di luar dg blnja online barang sampai di tempat tujuan alamat mksih shoope dn banyak discont dan barang cod yg mumer
5,2025 09 11 12 16 47,sekarang banyak grts ongkir sm bisa cod tiap produk is the best lah
5,2025 09 11 09 48 20,saya ingin membuat pesanan tapi cod saya tidak aktif mohon info agar di aktifkan kembali
1,2025 09 11 09 37 00,kok ga bisa mesan cod lagi kan saya ga pernah cancel barang dan knp promonya gabisa di pake padahal belum kadaluarsa
5,2025 09 11 06 06 22,tolong saya co terus semoga rezeki lancar dan ada terus buat bayar cod
5,2025 09 11 02 49 47,sangat membantu sekali apk ini untuk masyarakat terpencil juga bisa cod mantappppp semoga kedepan nya lebih keren lagi
5,2025 09 11 00 34 28,tidak bisa cod
1,2025 09 10 22 40 56,pendaftaran akun harus pakai ktp supaya tidak ada lagi orderan palsu dan pembayaran cod saya minta tolong dihilangkan
5,2025 09 10 20 14 32,sayang fitur cod di nonaktifkan smga cepat disaktfkan kembali trmakasih
1,2025 09 10 19 33 19,sekarang tidak bisa pake shopee karena fitur cod di hapus bisa gk sih kembalikan fitur cod nya
5,2025 09 10 19 15 39,tidak bisa cod
4,2025 09 10 19 12 58,buat lebih baik pelayanan cod
1,2025 09 10 18 50 44,apk koyo tempek kabeh barang raiso cod
5,2025 09 10 16 18 47,kenapa shoopee sya tiba tidak ada yg bisa cod
5,2025 09 10 15 19 35,saya senang belanja di shopee karna bisa cod cek dulu mantap
5,2025 09 10 13 31 42,kalo lewat shoppe kita bisa cod cek dulu jd lebih aman dan lebih murah
5,2025 09 10 13 00 52,banyak yang bisa cod barang sesuai
5,2025 09 10 12 30 16,pas nya semua orderan model cod cek di tempat cocok sesuai jadi
2,2025 09 10 08 20 06,padahal suka sekali belanja di shopee tapi sekarang sudah gak bisa pake cod lagi jadi males belanja di shopee
3,2025 09 10 06 42 38,kenapa sih udah dua bulan engga bisa pakai fitur cod katanya bisa jadi karna membatalkan pesanan padahal cuman satu kali batalkan pesanan waktu itu makin manja banget shopee nya
1,2025 09 10 06 22 59,hapus fitur cod
1,2025 09 10 01 53 06,tolongg kasi bisa cod
1,2025 09 10 01 44 11,udah langganan dan lancar pakai beberapa sistem cod spaylater dan spinjam setelah lunas semuanya kok gak bisa di pakai lagi tolong di perbaiki
1,2025 09 10 00 53 18,knp sopee saya gda buat cod
3,2025 09 09 21 51 05,makin lama ga bisa cod
1,2025 09 09 20 50 47,tidak bisa cod pembayaran di tempat
5,2025 09 09 20 22 23,sayang nya akun aku klw retor barang yg rusak ko tetap d anggap melanggar aturan sih padahal udah cod cek dulu dan ketahui oleh kurir
1,2025 09 09 19 34 20,udah gk bisa cod lagi kesel
5,2025 09 09 18 17 03,suka sekali apalagi klo pas promo ongkir murah klo bisa aktifin kembali cod daerah indonesia timur
2,2025 09 09 16 19 02,untuk mitra shopee tolong lah di pertimbangkan teruntuk cod masak mahalan ongkos cod dari padah barang yg kita pesen
2,2025 09 09 16 02 53,saya turunkan jadi dua bintang di karenakan system cod tidak bisa di gabung dengan voucher tersebut karena potensi kami hanya ingin keringanan dalam voucher tsb maka dari itu tolong kombinasikan antara voucher dan sistem cod agar ramah
4,2025 09 09 15 22 15,kok aku gak bisa cod ya
5,2025 09 09 13 00 34,dear shopee kalo paket cod tolong cantumkan harga di resi ya
5,2025 09 09 12 10 49,cukup bintang yg berbicara sangat membantu saya dalam berbelanja dan memenuhi semua kebutuhan yg saya butuhkan dan yg serunya cod cek dulu makasih shoopey kiranya makin hari makin diberkati
5,2025 09 09 12 05 24,memudahkan pengguna untuk melakukan pengiriman bisa cek dulu cod
5,2025 09 09 11 16 16,mohon fitur cod nya di kembaliin
2,2025 09 09 10 15 27,no kontak kurir gak ada kurir gak jelas kurang sopan rata kurir yg ada di shope apalagi buat pesanan yang sudah di bayar di apk bukan cod asli kecewa sama kurir shope gak ada yang bagus untuk wilayah saya kemungkinan kurir tembak bukan asli
5,2025 09 09 10 02 45,alhamdulillah sampai skrng msh aman sja tp knapa fitur cod sya hilang sya gk pernah kensel atau nolak brang tlng pulih kn kmbli cod sya y
4,2025 09 09 09 46 54,menurut saya semua brg bisa cod ya supaya org tdk rgu untuk mmbeli
5,2025 09 09 08 49 01,aku suka aplikasi shopee bisa cod cek dulu gratis ongkir lagi
3,2025 09 09 08 31 51,aku g bsa cod lgi gara kurirnya g mau nganter sdikit jauh jdi dia gagalkn sendiri eh tau nya sekrng g bsa cod lgi
1,2025 09 09 06 25 59,ribet banget tidak bisa cod
1,2025 09 09 05 07 19,tidak bisa cod alamat anda tidak mendukung metode cod padahal selama ini normal saja apakah pihak shoppe tidak mengaktifkan metode cod
5,2025 09 09 04 00 42,sudah gk bisa cod lagi
4,2025 09 09 01 10 02,suka belanja disnii tapiii karena adanya fitur blokir cod itu yang membuat susah untuk co apalagi kita yang tinggal dikampung yang jauh dari kota akun saya di blokir cod nya tanpa tau apa kesalahan yang saya perbuat karena selama ini paket saya selalu sampai tujuan dimohon kepada pihak shopee masukan dari saya sebagai pengguna minimal pemblokiran itu dilakukan paling lama seminggu aja jangan selama nya itu yang membuat pengguna malas untuk berbelanja di aplikasi
1,2025 09 09 00 31 11,fitur cod saya hilang gara gara ngeretur paketan tas yang gak sesuai harusnya fitur cod tu jangan begitu kalau pesanan memang tidak sesuai di gambar harusnya fitur cod jangan langsung di non aktifkn justru kalau begitu pihak shope yang di rugikan orang yang biasa belanja bisa cod malah tidak bisa kalau begitu pasti pengguna kesusahan beli paketan
1,2025 09 08 22 44 36,gak bisa cod
5,2025 09 08 21 26 51,saya sangat suka belanja di aplikasi ini lebih sering malahan dari pada aplikasi lain karena pilihan jasa pengiriman yg sudah bnyak di daerah saya dan juga ongkirnya bisa di pilih sampai ke yang lebih murah saran saya yg sudah lama saya tunggu tapi belum ada yakni pembayaran lewat e wallet seperti dana dll saya harap ini segera ada di shopee karena mempermudah jikalau pembayaran tidak bisa cod karena saya lebih sering melakukan pembayaran lewat aplikasi tsb
5,2025 09 08 19 40 33,membantu banget cod cek dulu baru bayar sukses slalu shoopi tambah maju aja dan ciptakan inovasi baru
3,2025 09 08 16 36 29,selama ini sangat puas tapi ahir ahir kurung respek karena kesalahan kurir membatalkan pesanan cod yg kena imbasnya kami pelanggan
4,2025 09 08 15 23 31,knp ya stelah di update fitur codnya tdk bisa
1,2025 09 08 15 17 35,kurang suka sama shopee sekarang maksa orang buat pakai spinjam bahkan di dm aktifkan spinjam sekarang kita kan sering cod sering beli di shopee ga pernah beli di marketplace lain ga boleh gitu semakin kaya malah maksa orang buat spinjam
5,2025 09 08 13 35 10,bagus playanan ramah barang sesuai etalase dan banyak codnya
5,2025 09 08 12 00 54,aplikasi gk bisa cod padahal alamat sama nomor nya semua udah benar
5,2025 09 08 11 53 55,kenapa di alikasih ini cod sudah tidk bisah
