score,at,content
1,2025 07 06 18 41 21,makin mahal ga ada gratis ongkirnya sklinya murah ga bisa cod hrus transfer iklan nya bnyk bikin hp lemot
5,2025 07 06 17 54 34,maaf saya sangat senang belanja di shopee dan saya kesal barang yang saya pesan melalui cod di kirim tapi tidak sampai ke saya dibalikan lagi dan saya sekarang tidak bisa cod lagi
4,2025 07 06 17 40 29,tolong kinerja kurir di perbaiki jika pesanan saya berjamur karna terlalu lama di gudang siapa yg mau tanggung jawab kurir cod di sini terlalu menggampangkan paket orang tolong di lampirkan nomer kurir di aplikasi shopee nya jadi saya bisa menghubungi langsung
4,2025 07 06 15 54 41,saya tidak bisa melakukan cod di katakan alamat tidak mendukung cod padahal saya selalu cod kalau mesan pas aktifin spaylater metode cod jadi nggak bisa di bilang alamat tidak mendukung
5,2025 07 06 07 46 24,kenapa di luar pulau jawa gak bisa cod sekarang padahal kemaren masih bisa
5,2025 07 06 02 27 57,mantap bisa cod
5,2025 07 05 23 18 31,shopee baguss tapi metode tidak bisa cod cek dulu tolong perbaiki lagi delover agar pelanggan puas belanja online
1,2025 07 05 21 29 33,selalu tidak bisa cod
3,2025 07 05 21 24 05,biasanya beli pke cod tiba tiba pas banyak voucher eeh disuruh pke spaylater codnya ga ada cpe deh
5,2025 07 05 21 22 38,semua pesanan saya tidak bisa cod kenapa ya
4,2025 07 05 20 56 20,ada apa dengan sistem gratis ongkir dan cod sebagian gak bisa dipake dibeberapa toko huhuuu
5,2025 07 05 20 32 29,bagus membuat belanja lebih mudah bisa cod dan cek dulu
5,2025 07 05 18 04 51,yg saya suka selain memudahkan cod juga gratis ongkir bhkan ada bonus
5,2025 07 05 17 16 50,sangat membantu untuk saya yang penjual online di pelosok bisa mendapatkan harga murah dan cod karna memudahkan hingga tidak takut tertipu atau barang palsu
5,2025 07 05 16 14 52,bagus sih tapi bisa cod gk ni
5,2025 07 05 15 25 11,belanja murah n cepat cod nya thanks shopee
5,2025 07 05 13 36 30,pengiriman barang sesuai waktu selama beli barang d shopee engga pernah mengcewakan terus pengecekan barang cod d tempat seblm bayar mantap shopee lanjut dan pertahankan
3,2025 07 05 13 10 14,saya mau cerita kemarin saya mau cek pesanan saya tuh soalnya ga sampai sampai kan terus ga sengaja kepencet pesanan keterima disitu kaget aku ya kalau cod ya ga masalah ya ini transfer tapi udh ada solusinya untung hubungi penjual dan cs shopee nya saran buat developer nya balikin aja ke setelan awal kalau misal ga sengaja kepencet pesanan diterima ada tulisan pesanan tiba dulu gitu biar orang gak panik gitu loh
4,2025 07 05 13 09 44,kok sekarang masng akun ada yg bisa cod dan tidak itu kenapa kak tlong dibantu pihak shopee sdngkan sudah diperbarui
1,2025 07 05 10 56 02,ekspedisi internal malah lelet banget padahal cod giliran diambil ke kantor gak bisa ditunda karna driver gak sempat tapi bukti pengiriman dan foto paket beda dengan nama kita
5,2025 07 05 09 59 41,sangat mudah untuk mendapatkan produk yang tidak mungkin dijual pada daerah pedalaman pilihan ongkir juga bervariasi sesuai dengan kemampuan dan fitur cod nya disediakan hampir oleh seluruh distributor shopee sehingga meningkatkan kepercayaan konsumen pada produk shopee pokoknya siiiplah
5,2025 07 05 09 57 19,saya gabisa cod tolong atasi kendala ini jujur sangat tidak menyamankan apalagi disaya tidak ada konter untuk top up spay dll
5,2025 07 05 09 07 21,bisa cod
5,2025 07 05 09 04 18,di shopee mau beli apaaaa ajaaa ada yg aq suka itu ada pembayaran cod karna aq sering nya megang uang cash dri pada di atm shopee sangat membantu sekalii
5,2025 07 05 05 14 21,gak bisa cod entah kenapa kesalahan kurir barang ku ga nyampe malah shopee ku yg kena ga bisa cod
5,2025 07 05 01 42 09,memahami masalah pembeli dari jauh nya pemesanan dan pembayaran memakai cara cod
1,2025 07 04 23 19 04,apa banget si ka spx express ini brang status nya sudah di terima tpi ga tau dimana tiga barang saya udh diterima semua tpi ga sampai ke rumah entah itu foto di rumah siapa kurir ga ada telpon atau cht kecewa banget saya ngehubungin cs ga ada solusi bahkan nelpon nmr kurir aja saya ga tau gimana caranya karena ga di kasih sya bayar pake shopee pay loh bukan cod kecewa si asli setidaknya konfirmasi ke kalau emng barang di rumah kurir kalau salah kirim gimna udh nunggu lama dlu waktu sma jnt g gni
3,2025 07 04 22 51 35,kenapa shopee tidak bisa cod kelokasi kami
1,2025 07 04 21 27 43,pengiriman cod gk bisa padahal produk support cod udah di klik balik ke tampilan check out pilihan pengiriman masih kosong udah dicoba berkali kali tetep gak bisa dahlah
5,2025 07 04 20 44 12,ingin cod
3,2025 07 04 20 38 26,sekarang susah untuk cod sudah berapa kali update tetap seperti itu tolong pihak shopee diperbaiki
5,2025 07 04 18 07 50,belanja dishopee menyenangkan dan mudah hanya saja fasilitas kurir dan cod terbatas bagi wilayah kami
4,2025 07 04 15 43 57,why can t cod
1,2025 07 04 14 58 29,woi kenapa shoope tidak bisa cod
1,2025 07 04 13 21 15,kenpa fitur cod di tiadakan
1,2025 07 04 11 39 22,petugas kirim ny semua tolol paket saya gak datang datang sudah melewati batas kirim mentang gak cod sesuka hati nya dikirim
5,2025 07 04 10 20 53,suka tp kadang cod nya suka ga muncul atau ada batas cod nya gatau kendala di akun atau apa soal nya akun baru juga sih
2,2025 07 04 09 53 22,kenapa setiap ganti hp harus barcode scan jadi g bsa login hrus scan hp lama dulu yang hilang ntah dijual
5,2025 07 04 09 30 20,hai shopee kamu pelayanan nya sangat bagus aku suka tapi yg bikin aku ngak suka kurir nya kadang ngak gantar paket nya jadi aku gak bisa cod lagi deh sekarang sedih jadi gak bisa belanja online lagi deh
4,2025 07 04 09 25 31,hapus aja lah sistem cod kasian kurir yg berhadapan dengan orang yang gk ngerti sistem cod
5,2025 07 04 08 49 02,semakin membaik hanya saja kadang kurir tdk mau mengantar ke rumah walaupun pesanan cod
1,2025 07 04 06 11 37,udah beberapa kali paket cod ny si return petugas karna ngk ad konfirmsi sblum dtg krmh
5,2025 07 04 04 14 48,memudahkan dalam belanja kalau bisa untuk cod seperti ayam atau entok hidup di bisakan
1,2025 07 04 00 11 04,sumpah aneh banget sih shope skarang di akun gw kagak bisa cod giliran di akun emak gw bisa cod itu napa sih aneh banget dah
4,2025 07 03 22 34 34,mohon layanan cod dipertegas lagi untuk konsumennya karena banyak masyarakat indonesia yang belum siap dengan sistem belanja online
5,2025 07 03 21 42 10,alhamdulillah aplikasi ini sudah bisa cod lagi aku jadi senang banget belanja di shopee harga terjangkau pesanan sesuai pokoknya aplikasi terbaik
3,2025 07 03 21 11 21,katanya cod cek dulu setelah di cek dan barang ya kebesaran trus d tolak malah gak bisa cod lagi
5,2025 07 03 20 50 35,senang sekali memudahkan saya belanja tanpa harus ribet ke toko dan bingung klo disuruh milih dg shopee kita bebas milih bahkan untuk produk yg lagi ngetren bisa dikembalikan jika tidak sesuai pesanan untuk pruduk tertentu bisa cod byr pk ewallet pokoknya cocok bagi mereka yg mager saran saya banyakin voucher dan diskon
1,2025 07 03 20 42 14,sya sgt kecewa pada kurir nya karna pesan sya belum nyampe ditangan sya pas sya telpon pas hari itu dia bilang besok syg kirim lagi rupanya besok nya kutunggu ketelpon lagi katanya paketnya sdh ku kembalikan saat itu sya sgt kecewa sekali sya tidk di ijinkan cod lg
2,2025 07 03 20 41 14,sebenarnya saya seneng belanja di shopee karna dibantu dengan banyak voucher tapi tolong di perbarui ribet banget login ke akun shopee harus banget pakai scan code sementara hp saya cuma satu
5,2025 07 03 19 41 27,bisa cod mempermudah pembeli
5,2025 07 03 19 32 35,nyaman dan tenang berbelanja murah cod mantap
5,2025 07 03 18 43 23,bagus tapi kurirnya gak ramah penjual juga ga bisa di cod
5,2025 07 03 18 41 45,shopee belanja aman bisa cod cek dulu mantap pokoknya
1,2025 07 03 17 36 21,kenapa tidak bisa cod untuk shopeefood
5,2025 07 03 15 18 24,petugas sangat baik permintaan kita untuk pembayaran pesanan setelah sampai dirumah karena memakai sistem cod mau dibayarkan melalui tf jadi petugas selalu percaya lepada nasabaj mantap
1,2025 07 03 15 17 49,semenjak spx kecewa barang minta di kirim ulang sistem cod lalu di rubah ke via indomaret saya setuju dgn janji di kirim hr itu jg tpi yg terjadi barang return ke seller uang hilang waw bgt ya
5,2025 07 03 14 57 20,ongkir murah barang cepat sampai klw bisa yg pembayaran transfer mohon jd cod mksh
5,2025 07 03 14 24 57,assalamualaikum kk saya ingin memberi masukan untuk lebih baik sistem pembayaran cod di hapus saja sekian dan terima kasih
1,2025 07 03 13 42 45,kurir malas barang saya tidak pernah sampai tujuan dibatalkan sepihak sehingga fitur cod saya hilang bayar pake shope pay juga tetap dibatalkan sepihak oleh pihak kurir ajukan pengaduan pihak shope tidak ada tindakan
5,2025 07 03 12 49 18,sayang gkn bisa cod barangnya makanya aku pindah apk seblah
5,2025 07 03 11 22 49,sistem cod bikin nyaman
5,2025 07 03 11 21 59,tolong pda pihak shopee untuk pengiriman barang klo bisa ada expedisi j t express spx express biar cpet nyampe ny yg reguler jngan ada cargo hemat itu lama nyampe ny dan utamakan ada cod dan cod cex dulu biar tmbah bnyk konsumen ny
1,2025 07 03 11 05 29,pembayan cod sring error
2,2025 07 03 09 16 22,saya heran kalau paket cod pasti cepat pengiriman nya tp kl paket yg sudah dibayar langsung kadang tertunda tunda apa mentang mentang sudah dibayar lalu santai jasa pengiriman
5,2025 07 03 08 59 30,saya pensiunan sangat merasa terbantu belanja apapun yg saya inginkan di shopee yg mana gak sampai keluar jauh dari rumah dan tidak melelahkan cukup diam menunggu dirumah pesanan cod saya terima terimah kasih saya sebagai pelanggan shopee semoga selalu sukses dan maju terus utamakan pelayanan pelanggan dengan ichklas
5,2025 07 03 08 57 03,enak belanja di shopee bisa cod cek dulu jd jika tidak sesuai pesanan bisa d retur
5,2025 07 03 08 39 31,suka sekali dengan fitur cod dan ada pilihan kurirnya jadi aku bisa memilih jasa kurir yang murah
5,2025 07 02 23 01 44,belanja d shopee bagusnya bsa cod cek dulu
5,2025 07 02 20 02 27,aplikasi ini sangat bagus dan sangat membantu kurir ny juga baik ramah pengiriman slalu tepat waktu tapi sayang aku harus download ulang karena gak bisa cod lagi gara gara ulah tetanga ku dia pesan barang pakenya lewat akun saya eh pas dateng mala di reuter kan jadi kasian ama reseller nya kurir nya pokok nya shopee sangat bagus
5,2025 07 02 19 39 01,barangnya sesuai kurirnya ramah cod sesuai harganya pokoknya semua oke makasihhhh
5,2025 07 02 18 37 08,terpercaya dah pokoknya apalagi sudah ada cod cek dulu nggak perlu takut barang nggak sesuai yakan yakan
2,2025 07 02 18 36 51,misal pake cod cek dulu dari si kurirnya pasti sudah di konfirmasi barang sudah sampai padahal barangnya belum datang sama sekali baru dikirim ke pelanggan hari besoknya kesanya seperti ngga mau si pelanggan untuk ngecek barangnya dulu makanya di konfirmasi telah sampai padahal kan kenapa pakai cod cek dulu biar pas barang datang di cek barang sesuai atau ada kerusakan yah kurirnya di beresin lah yg model begitu sop nya seperti apa harus di lakukan yg bener sesuai sop
5,2025 07 02 17 39 12,akun udah bisa cod lagi emang tempat belanja online terbaik
4,2025 07 02 17 37 12,apl nya bagus cuma biasa tiba tiba gak bisa cod atau bayar ditempat
5,2025 07 02 17 10 50,sistem cod ny sedikit
1,2025 07 02 16 52 48,saya tidak bisa cod padahal masalah di kurir kirim paket gak ceth dulu
3,2025 07 02 16 16 51,sejauh ini system apk termasuk voucher cod free ongkir flash sale ataupun big sale dah bagus bet si cuman minusnya ada di pelacakan paket yg sering telat update dan lagi untuk system return barang yg ga sesuai kalo bisa d gampangin lagi untuk menjaga profesionalitas para seller
2,2025 07 02 12 13 08,sudah tidak bisa cod semua toko paket jalan di tempat saja lama di kembalikan ke tokonya semakin tidak jelas semenjak nda pakai jnt
3,2025 07 02 11 45 44,tolong hapus saja pembayaran cod karena banyak kurir yang menjadi korban kekerasan karena paketnya tidak sesuai dengan pesanan terima kasih
5,2025 07 02 11 18 27,sangat membantu praktis mau belanja kapan pun gak perlu keluar cukup isi saldo shopee saja atu cod
5,2025 07 02 11 01 02,belanja keperluan mudah dan simple apalagi cod an mantap
4,2025 07 02 09 39 35,bagus karna bisa cod cek dulu
5,2025 07 02 09 20 22,kenapaa akir ini paket sayaa ngak bisa cod padahal saya tidak perna membatalkan pesanan saya
5,2025 07 02 09 19 39,bagus sih aplikasi nya cuma yang bikin saya kecewa itu tidak bisa cod atau tidak bisa bayar di tempat
1,2025 07 02 08 40 30,banyak penipuan di live ketika kita mau membatalkan pesanan non cod selalu mereka tolak dan paksa kirim barang dengan barang cacat produk kita mau return selalu berbelit belit tolong ini sangat merugikan
1,2025 07 02 08 18 20,hapus sistem cod gw kasian sama kurir yang suka kena marah sampe di cekik di pukul pokoknya cepat hapus
1,2025 07 02 07 15 56,kecewa sekali dengan sistem cod buat seller maupun jasa pengirimannya cod banyak di tolak returan jadinya banyak banget di tambah terkait jasa pengiriman kasian harus nunggu lama buat pembayaran di tambah kalo buyernya gk ada udah auto nambah kerjaan
5,2025 07 02 06 24 22,terbaik banyak gratis ongkir dan bisa cod cek dulu tp tolong di teliti lagi untuk seller nakal
5,2025 07 02 03 21 16,min lebih baik gausah ada fitur cod kasian lihat kurir digituin
5,2025 07 02 02 13 15,belanja cepat dan bisa cod
5,2025 07 02 00 55 07,aku suka belanja dr sophy mudah dipahami murah dan bisa cod
1,2025 07 02 00 48 59,pelayanan shopee sekarang buruk kita dipaksa nunggu estimasi yang terus ditambah pembatalan pun dipersulit saran saya pakai cod kalo memang mau pakai jasa ini karna jika cod lebih mereka prioritaskan lain halnya jika sudah bayar bertele tele kerja mereka karena sudah masuk pembayarannya pakai cod saja biar mereka lebih mau kerja
4,2025 07 02 00 04 29,saya minta bantuannya pada shopee tolong dong untuk harga yg mahal kayak hp di wajibkan cod cek dulu karna sekarang ada di kota kami yg lagi viral itu penjual yg nakal yg gak bertanggung jawab kadang ada yg nipu banyak tukang penjual yg jualan harga mahal jutaan itu jarang gak pernah ada yg mengaktifkan cod cek dulu akhirnya imbasnya ke kurir karna barangnya gak sesuai atau palsu kasihan sekali kurirnya semoga aja pesan saya di baca oleh shopee dan kedepannya ada update ilove
5,2025 07 01 23 16 30,perbaikin tolong sistem pembayaran barcode nya
2,2025 07 01 21 31 09,pihak admin shoope plisss untuk daerah mura musi rawas provinsi sumsel kenapa ngk bisa cod padahal kami belanja baju atau barang apapun make shoope semua cuma gara beberapa oknum yg tidak bertanggung jawab semua yg kena imbas nya plisss pihak shopee kembalikan mode cod untuk didaerah kami ini
3,2025 07 01 20 29 00,demi ke amanan dan kenyamanan pembeli dan kurir hapus sistim cod karena sudah banyak kasus kurir jadi korban kebodohan pembeli
5,2025 07 01 19 51 03,hapus cod dari madura kasian kurir yg jadi korban
5,2025 07 01 18 13 00,enak belanja online tanpa harus kemana kemari langsung di antar gratis bisa cod
5,2025 07 01 17 51 44,tidaknada fitur cod tolong di buka fitur cod nya
2,2025 07 01 17 30 54,no no no a a nggaa bisa cod woii di tempat gue why
3,2025 07 01 17 18 31,ini kenapa dah gak bisa cod semua akun gak bisa cod
2,2025 07 01 16 34 56,sopi saya tidak bisa cod tolong di perbaiki ya emang barang yang saya pesendatang ny bagus bagus tetapi kenapa hari hari ini saya gak bisa cod
1,2025 07 01 15 57 22,kenapa ada barang yg g bisa cod
5,2025 07 01 14 16 19,sebenarnya kecewa sih sekarang gada pengiriman melalui j t klo ada pun harus bayar dulu sekarang mah spx daerah sini spx lama banget sampai nya kurir nya malas banget tolong dong shopee kembalikan j t seperti dulu bisa cod
5,2025 07 01 13 53 14,bagus awalnya murah dan cod tpi kesininya semua harga tdinya murah berubah harga jdi naik
5,2025 07 01 13 50 43,bagus sih tapi kenapa shopee udah gak bisa cod
1,2025 07 01 13 30 15,bagus si tapi kendalanya kok tidak ada cod nya
4,2025 07 01 13 13 06,yaa bgiss sihh apl nyaa bisa belibapa aja pokoknya lengkap dehh tpii pernah ketipuu yg dateng beda sama yg di fotoo jdi kesel bgtt tpi aplnya bgus kokk cocok buatcyg gk bisa motoran tinggal pesen aja soalnya ada fitur cod apalagi skrg ada cod cek dulunyaa jdi mkin amaann
5,2025 07 01 13 10 38,dengan adanya shopee saya bisa belanja apa yg saya mau dan bisa cod serta payleter
3,2025 07 01 12 26 26,kok knpa yah skarang stelah di update aplikasinya saya sdah tdak bisa melakukan pesanan pembayaran cod biasanya bisa skrg udah ngk bisa tolong di perbaiki lgi donk shopee nya
1,2025 07 01 12 25 51,kenapa ga bisa cod
5,2025 07 01 10 55 25,sebenarnya senang pakai shopee cuman sayang nya yg bikin kesel tuch saat pemblokiran cod padahal yg rugi shopee nya jg tuh krn yg pakai gak bisa belanja cod jdi nya
5,2025 07 01 10 42 09,tempat belanja yg paling tidak ribet pokoknya semua bisa mulai dri cicil sampai cod cocok untuk orng yg malas keluar rumah dan tidak punya wktu untuk keluar rumah tapi pengen belanja
5,2025 07 01 10 33 52,kenapa ngga bisa cod
5,2025 07 01 10 19 50,shopee skrg sdh gk bisa cod apa bgmna ni sdh update yg pling terbaru tpi ttp gk bisa
5,2025 07 01 10 06 53,aplikasi nya mantap dan bagus dan aku juga sering bgt berbelanja di toko shopee indonesia ini ini bikin aku gk beli ke indomaret lagi dan ada ongkirnya juga jadi ada promo dan barang bagus juga aku tinggal di bandung paket udh nyampe beberapa hari jadi nikmat pake cod ini trs
4,2025 07 01 10 05 58,gk tau kenapa dlm bbrp bulan belakang gk bisa cod setiap mau cek out sll terhambat
4,2025 07 01 09 37 48,sedikit kecewa ko ke tempat sya nggak bisa cod padah sya belanja biasa cod ko ini sudah nggak bisa
3,2025 07 01 09 32 36,kenapa sistem ini gk bisa cod
1,2025 07 01 08 46 37,gabisa cod
3,2025 07 01 07 14 54,tolong dikasih tambahan pasword saat pembayaran meskipun sistem cod agar tidak bisa diakses anak anak
5,2025 07 01 04 53 03,saya suka karna banyak produk yg cod dan pengiriman lebih murah dari yg lain
5,2025 07 01 04 35 29,saya kok ngk bisa cod kak
5,2025 06 30 23 13 58,belanja jadi lebih mudah tp tolong sistem cod di tambahin dn blokir penjual penjual nakal
5,2025 06 30 21 31 52,aplikasi yg bgus bgt untk blnja online slain cod cek dlu ongkir nya jga murah oya saran saya no telp kurir jga hrus di sertakan di dlam pengiriman dan pengantaran barang agar custumer bisa menghubungi kurir ktika tdak berada di rumah dan bisa lbih leluasa melacak keberadan paket nya itu saja dri saya
1,2025 06 30 20 43 46,shoppe nya dk bisa cod
5,2025 06 30 19 28 02,hanya saja sistem cod nya kurang hebat seperti lazada
5,2025 06 30 19 21 58,amanah the best shoope pembayaran via cod shoope terbaik
5,2025 06 30 16 27 42,belanja semakin mudah yg ptg bs cod
5,2025 06 30 15 12 52,puas suka dgn cod cek dulu
1,2025 06 30 15 10 43,akun sy tidak bisa cod padahal sy tidak perna menolak pesanan bikin emosi
3,2025 06 30 14 09 18,saya sudah beralih ke apk sebelah karna ini menyusahkan saya kampung saya jauh dari kota jadi nggx bisa bayar langsung fitur cod nya sudah tidak ada sori sudah beralih
5,2025 06 30 14 03 04,terimakasi shopee dg apk in saya suka sekali belanja di shopee karena sangat membantu kami yg susah keluar rumah selain itu harganya juga lebih murah dari toko dan juga bisa cod pula
4,2025 06 30 12 05 55,gratis ongkir bisa cod dicek dulu harga terjangkau kualitas sesuai harga
5,2025 06 30 10 37 27,belanja di shopee cukup memuaskn ongkirnya murah bisa cod
5,2025 06 30 09 02 14,berbelanja jadi mudah tapi saran aja supaya fitur cod selalu diterapkan disemua produk dan ongkirnya jangn mahal mahal
2,2025 06 30 06 10 19,untuk shopee tolong sekali mengapa saya tidak bisa memesan barang menggunakan cod semua barang padahal saya lihat deskripsinya bisa memakai cod tapi saya lihat tidak bisa tolong dibenerin ya
5,2025 06 30 02 58 38,sejak ada cod cek dulu jadi sering belanja di shope karna udah ngak takut kena tipu lagi dan gratis ongkir setiap hari ada
5,2025 06 29 21 53 43,aplikasi ini sangat bagus pengiriman juga cepat dan tepat waktu saya sangat suka dengan aplikasi ini tolong jangan non aktifkan cod nya yaa
1,2025 06 29 20 48 24,kenapa shopee ku ga bisa dibuat cod yha semua sistem nya tf semua males jadinya buka shopee
1,2025 06 29 19 18 44,baru make shoppe langsung ngak bisa cod
4,2025 06 29 17 26 51,aplikasinya sudah bagus tapi tolongg lokasi yg bisa cod di tambahin yg pelosok pelosok untuk cod
2,2025 06 29 15 28 02,kecewa banget sekarang gak bisa cod gk mau lagi deh mesen di shopee kaloo gk bisa cod
1,2025 06 29 15 24 57,katanya cod tp knp di tempat kami engk bisa cod
1,2025 06 29 14 10 46,gak bisa cod
5,2025 06 29 12 36 29,sangat bagus hanya gak bisa cod
5,2025 06 29 10 56 44,keren si belanja jd aseek tp sayang cod gagal cm sekali knp langsung di tutup y cod nya padahal tdk sepenuhnya kesalahan sy kurir nya gk ada konfirmasi dtng pun saat magrib sy sedang ke mesjid
5,2025 06 29 08 46 14,barang yang dijual belikan sangat bagus dan aturan untuk pengembalian barang bagus sekali terutama bisa beli cod dan ongkirnya gratis
5,2025 06 29 08 01 01,kenapa cod saya tidak aktif apa kurir yang menonaktifkan cod saya saya tidak bisa transfer banyak kendalanya buat saya cod sangat aman karena cod sangat membantu saya barang sesuai atau tidak bisa lebih akurat pakai cod kita bisa tau kurir yang jujur yang mana aja dan kurir yang tidak jujur kita bisa laporkan saya harap sistem cod saya diaktifkan kembali seperti sediakala mohon dipertimbangkan terimakasih
5,2025 06 29 06 26 51,saya menyukai aplikasi shopee karna dapat memudahkan untuk kita berbelanja online dan juga dapat cod
5,2025 06 29 02 51 32,aku yakin shopee bisa membantu solusi nya bagi yg belanja cod maupun cash atau cicilan
3,2025 06 29 01 51 48,kdang bisa cod kdang kgk
5,2025 06 28 22 18 07,bagus bisa cod
5,2025 06 28 20 24 17,sistem cod dalam pembelian itu menyenangkan cuma mintak lebih banyak kan promo dan ongkir gratis hehe
5,2025 06 28 18 52 14,sangat memudahkan pembelian sistem cod
3,2025 06 28 18 01 13,kenapa sekarang pengiriman shopee jadi lambat bgt kadang pesenan cod saya ada yg sampai ada yg nggak tolong dong min tingkatkan lagi dalam pengiriman nya atau kurir nya supaya pesanan diantar dengan baik dan sampai sesuai waktunya
3,2025 06 28 17 45 11,kenapa enga bisa cod barangnya dan kalo bisa cod barangnya mahal banget
5,2025 06 28 14 55 56,di shopee bisa cod dan ngantar nyapun cepat sekali jadi aku kalau mau beli barang online beli di shoppe terpercaya kurir nya sangat baik banget
5,2025 06 28 14 48 08,sangat puas dengan aplikasi shopee nggak bisa kelain hati selalu memberikan harga yg murah barang yang di beli selalu ori juga cod dan cek dlu pokoknya shopee selalu di hati
5,2025 06 28 13 59 59,skrang lebih suka belanja di shopee slain gratis ongkir aman bisa metode cod cek dulu
1,2025 06 28 12 36 47,padahal di tulis bisa cod tapi kok malah pas di pesen gk ad opsi ny
5,2025 06 28 11 35 44,lebih gampang dengan shope cod cek dulu
5,2025 06 28 11 11 17,murah meriah gratis ongkir cod cek dulu
5,2025 06 28 11 10 51,puas belanja di shoppe bisa cod
4,2025 06 28 10 01 12,tolong aplikasinya isiin lgi cod cek dulu ya
1,2025 06 28 09 56 18,fitur cod menghilang tanpa alasan yang jelas padahal tidak melakukan penolakan penerimaan cod ataupun pelanggaran lainnya sangat mengecewakan
4,2025 06 28 09 32 21,seharusnya buat semua toko bisa menggunakan cod cek dulu
3,2025 06 28 07 52 35,aplikasi nya aneh nggk ada metode cod nya
1,2025 06 28 07 25 12,kecewa sekali saya pesanan berapa kali dibatalkan padahal sudah dalam perjalanan ditanya alasan kenapa dibatalkan juga tidak ada penjelasan pada pelanggan jadi binggung sendiri ini aplikasi maunya apa coba mereka yang batalkan akun kita langsung tidak bisa cod lagi padahal dari aplikasinya yg membatalkan jika ada niat baik dari aplikasinya utk menggagalkan pengiriman barang palsu kepelanggan mohon utk infonya ke nomor pelanggan bersangkutan biar tdk menunggu pesanannya datang tks salam
1,2025 06 28 07 22 49,mau pesan tapi ga bisa cod
5,2025 06 28 01 13 05,shopee jadi lemot pdhl uda updet terbaru apk shop yg lain lancar lancar aja tuh malahan skrng klo beli produk tertentu gk bisa cod dulu bisa semua produk skrng mh produk tertentu doang payah
5,2025 06 27 21 57 16,sgt bagusss tapi ada sedikit kekurangan kadang g bisa cod
5,2025 06 27 21 55 12,sangat mudah belanja dishopee bisa cod
3,2025 06 27 21 04 40,kok sekarang shopee gak bisa cod ya
5,2025 06 27 18 39 25,akun saya sudah tidak bisa cod
2,2025 06 27 18 35 15,aplikasi bagus tapi sayang untuk belanja tidak ada pilihan jasa kiriman pos indonesia cod nya
5,2025 06 27 17 42 00,saya suka dg apk ini dari dlu sudah pakai tapi heran sama shopee ada fitur cod cek dulu tpi setiap saya pesan barang kalau saya gunakan fitur itu gk ada gunanya sama aja seperti fitur cod kurirnya gk pernah mau buat suruh cek dulu mending di hapus aja kalo fitur itu gk bejalan dengan realitanya
4,2025 06 27 16 02 01,tolong konfirmasi ke drivernya kalau masalah fitur cod itu minimal di whatsapp pembelian ya atau tlp pulsa
5,2025 06 27 15 50 23,mantab codnya free ongkir juga banyak promo dan sesuai dengan isi kantong
5,2025 06 27 14 31 43,kepuasan dalam cod
5,2025 06 27 14 03 51,aplikasi bagus kerja cepat cuman satu yg saya kurang puas mengapa lah mesti ada pembatasan belanja dan jumlah nominal cod
5,2025 06 27 14 00 42,saya sangat suka sekali belanja di shopee kalau metode pembayaran nya bisa cod cek dulu
3,2025 06 27 13 00 57,tolong dong kenapa punya saya gak bisa cod tolong diperbaiki
5,2025 06 27 12 43 44,saya mau shopee saya jangan di ubah ubah metode pembayaran nya shopee nya cod sampek kapanpun harus cod cek dulu
2,2025 06 27 10 06 34,hati buat pembeli usahakan pesanan mengunakan fitur cod tanpa cod jgn pesan barang dgn membayar lansung itu bisa muncul fitur pesanan selesai disaat kita tdk sengaja klik pesanan selesai saat itu lah semua serba susah terutama mau kompalin barang pessnan yg rusak terima kasih
5,2025 06 27 10 02 27,sangat membantu untuk belanja murah dan cod
1,2025 06 27 07 55 28,halmahera utara tobelo sekarang tidak bisa cod jadi saya kasih bintang saja
5,2025 06 26 20 30 59,sangat membantu tapi dlm bbrpa hari ini aplksi shoope di hp sy tdk bisa cod lagi padhl uda di update gmna dong kk
5,2025 06 26 20 25 19,aplikasi nya bagus bgt memudahkan kita untuk membeli barang bisa cod juga
5,2025 06 26 20 24 06,selalu tepat wkt layanan system pembayaran cod periksa bayar
5,2025 06 26 20 09 13,kenapa sekarang gak bisa lagi cod
5,2025 06 26 19 04 28,peking rapi pelayanan memuaskan tapi sayang kesalahan peguna app yg memang belum paham cod langsung di nonaktifkan jd harus cari app lain
5,2025 06 26 18 09 38,bagus bangat tapi ngak ada batalkan pesanan ngak bisa cod
1,2025 06 26 17 33 26,barang return karna kesalahan jasa pengirimnya yang tidak mengantar paket ke pembeli malah pembelinya yang dinonaktifkan metode codnya akhirnya tidak bisa berbelanja terus aplikasi shopeenya dihapus setelah itu pindah deh ke yang lain payah
4,2025 06 26 15 58 00,kadang ngelag sama untuk aplikasi scan barcode y gk mau
4,2025 06 26 15 57 46,adanya shopee kita berbelanja online dengan gampang dan dengan adanya fitur cod bayar ditempat memudahkan kami untuk membayar
1,2025 06 26 15 34 27,ini kenapa ya shopee saya tidak dapat memesan barang dengan cara cod tolong ya shopee
1,2025 06 26 12 06 21,bisa tdk kalo pesanan belum di antar jangan kasih informasi pesanan dalam proses pengataran cape tunggunya takutnya paket datang kita gk ada di rumah apalagi cod
5,2025 06 26 11 48 22,aplikasi yang cocok buat cod
3,2025 06 26 09 08 03,masya allah tabarakallah bgs bgt app ini mudah dan cepat dan ada juga mode cod
